,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
359,Port Lincoln,AU,-34.7333,135.8667,1624742251,54.21,88,11,8.5
360,Witu,KE,-2.3889,40.4382,1624742252,75.36,77,96,12.93
361,Bilibino,RU,68.0546,166.4372,1624742252,65.34,31,100,1.03
362,Imeni Stepana Razina,RU,54.8932,44.2963,1624742253,63.93,92,96,2.59
363,Toamasina,MG,-18.1667,49.3833,1624742253,66.54,90,26,3.8
364,Sur,OM,22.5667,59.5289,1624742254,85.5,56,0,18.41
365,Gigmoto,PH,13.7796,124.39,1624742254,80.65,82,78,4.45
366,Kahului,US,20.8947,-156.47,1624742254,86.02,64,40,12.66
367,Matara,LK,5.9485,80.5353,1624742255,76.96,89,100,11.32
368,Kibara,TZ,-2.15,33.45,1624742255,72.21,63,44,5.61
369,Luena,AO,-11.7833,19.9167,1624742256,55.9,50,0,2.84
370,Zhezkazgan,KZ,47.8043,67.7144,1624742257,68.88,40,73,11.27
371,Banjar,ID,-8.19,114.9675,1624742257,80.46,90,100,3.13
372,Jinchang,CN,38.4953,102.1739,1624742258,68.56,57,0,3.85
373,Caxito,AO,-8.5785,13.6643,1624742258,70.16,95,52,0.65
374,Shadrinsk,RU,56.0852,63.6335,1624742259,62.22,95,32,5.08
375,Tessalit,ML,20.1986,1.0114,1624742259,97.57,6,0,8.79
376,Santa Cecília,BR,-26.9608,-50.4269,1624742260,56.5,95,48,3.02
377,Sawtell,AU,-30.3833,153.1,1624742261,44.19,93,0,4.61
378,Manzhouli,CN,49.6,117.4333,1624742261,63.28,87,56,3.38
379,Qui Nhon,VN,13.7667,109.2333,1624742261,80.82,73,53,3.13
380,Itoman,JP,26.1247,127.6694,1624742262,81.37,94,75,9.22
381,Arkhara,RU,49.4212,130.0842,1624742262,65.97,81,32,1.59
382,Pontianak,ID,-0.0333,109.3333,1624742263,76.98,94,75,3.44
383,Fortuna,US,40.5982,-124.1573,1624742264,70.93,71,1,1.99
384,Tongchuanshi,CN,35.0806,109.0897,1624742264,71.8,65,45,3.44
385,Kuznechnoye,RU,61.12,29.8686,1624742264,66.69,95,1,2.8
386,Āsmār,AF,35.0333,71.3581,1624742265,73.99,55,55,5.37
387,Itaporanga,BR,-7.3044,-38.1503,1624741980,79.14,39,6,11.39
388,São João da Barra,BR,-21.6403,-41.0511,1624742266,71.69,73,10,12.48
389,Morondava,MG,-20.2833,44.2833,1624742266,65.19,70,0,8.12
390,Zbarazh,UA,49.6636,25.7762,1624742266,62.1,96,6,7.02
391,San Cristobal,VE,7.7669,-72.225,1624742016,75.38,75,68,3.65
392,Koslan,RU,63.4564,48.8989,1624742267,60.31,79,99,3.58
393,Amapá,BR,1.0,-52.0,1624742267,77.67,79,100,2.44
394,Scarborough,GB,54.2797,-0.4044,1624742268,58.66,86,39,1.99
395,Magalia,US,39.8121,-121.5783,1624742206,104.54,11,0,9.75
396,Poninka,UA,50.1849,27.5363,1624742269,62.37,95,56,2.75
397,Piaçabuçu,BR,-10.4056,-36.4344,1624742269,73.56,76,75,8.37
398,Dingle,PH,10.9995,122.6711,1624742269,76.32,89,100,3.76
399,Waingapu,ID,-9.6567,120.2641,1624742270,77.29,86,100,7.49
400,Uspenka,UA,48.3903,39.1619,1624742270,68.9,89,79,5.1
401,Regina,CA,50.4501,-104.6178,1624742271,81.16,53,83,11.99
402,Smoky Lake,CA,54.1169,-112.4686,1624742045,83.57,42,14,15.61
403,Bugul'ma,RU,54.55,52.8,1624742271,65.82,79,29,3.42
404,St. George's,GD,12.0564,-61.7485,1624742272,83.88,74,75,25.32
405,Rafrāf,TN,37.1904,10.1837,1624742272,88.11,65,100,9.62
406,Hong Kong,HK,22.2855,114.1577,1624742183,86.38,91,97,1.01
407,Kathu,TH,7.9178,98.3332,1624742273,86.63,75,19,10.09
408,Tete,MZ,-16.1564,33.5867,1624742273,68.09,49,0,4.61
409,Taoudenni,ML,22.6783,-3.9836,1624742274,104.76,8,2,8.48
410,Celestún,MX,20.8667,-90.4,1624742274,83.89,66,96,6.71
411,Sola,VU,-13.8833,167.55,1624742275,77.67,89,75,0.0
412,Date,JP,42.4681,140.8681,1624742275,64.13,84,1,0.27
413,Mansôa,GW,12.0733,-15.3189,1624742275,73.6,91,100,3.78
414,Eminabad,PK,32.0422,74.2594,1624742111,82.51,43,38,3.53
415,Taicheng,CN,38.731,113.228,1624742276,64.96,64,34,3.87
416,Malambo,CO,10.8595,-74.7739,1624742236,87.94,62,40,5.75
417,Havøysund,NO,70.9963,24.6622,1624742277,45.48,86,100,3.27
418,Swan Hill,AU,-35.3378,143.5544,1624742278,48.27,78,92,7.34
419,Batticaloa,LK,7.7102,81.6924,1624742056,80.47,70,99,7.54
420,Paita,PE,-5.0892,-81.1144,1624742278,75.76,74,21,14.74
421,Pacific Grove,US,36.6177,-121.9166,1624742192,95.61,80,40,1.01
422,Buncrana,IE,55.1333,-7.45,1624742279,49.03,89,100,4.94
423,Simões,BR,-7.5989,-40.8178,1624742279,78.42,37,9,7.45
424,Belyy Yar,RU,53.6039,91.3903,1624742280,49.89,87,0,2.24
425,Karratha,AU,-20.7377,116.8463,1624742280,64.04,47,100,6.87
426,Faya,SA,18.3851,42.4509,1624742281,72.12,16,99,5.26
427,Eenhana,NA,-17.4667,16.3333,1624742281,56.95,34,12,2.91
428,Maceió,BR,-9.6658,-35.7353,1624742018,76.44,69,0,4.61
429,Sisimiut,GL,66.9395,-53.6735,1624742282,44.83,80,100,3.58
430,Duma,CN,34.7653,108.135,1624742283,66.22,70,63,4.5
431,Sibu,MY,2.3,111.8167,1624742283,77.31,94,40,2.3
432,Avera,US,33.194,-82.5271,1624742283,89.74,51,61,10.38
433,Antsirabe,MG,-19.85,47.0333,1624742284,48.33,80,4,3.36
434,Fairbanks,US,64.8378,-147.7164,1624742101,67.6,50,90,3.0
435,Monaco-Ville,FR,43.731,7.4248,1624742285,73.44,80,0,1.14
436,Omboué,GA,-1.5746,9.2618,1624742285,73.62,90,98,7.36
437,Los Palacios,CU,22.5872,-83.2486,1624742285,84.99,66,100,7.94
438,Havre-St-Pierre,CA,50.2334,-63.5986,1624742286,61.81,81,88,4.36
439,Fayaoué,NC,-20.65,166.5333,1624742286,75.34,68,61,16.98
440,Lubango,AO,-14.9172,13.4925,1624742128,57.81,36,10,3.42
441,Zhigansk,RU,66.7697,123.3711,1624742287,60.73,82,100,6.76
442,Chute-aux-Outardes,CA,49.1168,-68.399,1624742287,58.71,97,100,5.39
443,Bay Roberts,CA,47.5999,-53.2648,1624742288,69.66,63,100,10.0
444,Kurumkan,RU,54.3,110.3,1624742288,61.36,74,75,1.95
445,Balkhash,KZ,46.844,74.9804,1624742289,62.17,50,1,10.76
446,Calama,CL,-22.4667,-68.9333,1624742289,61.29,9,0,17.27
447,Bathsheba,BB,13.2167,-59.5167,1624742290,84.81,58,20,20.71
448,Hov,NO,60.6987,10.3519,1624742290,66.65,72,100,3.87
449,Karachi,PK,24.9056,67.0822,1624742200,85.82,66,40,11.5
450,Camacha,PT,33.0833,-16.3333,1624742291,66.52,68,75,9.22
451,Gouyave,GD,12.1646,-61.7296,1624742292,83.17,74,75,25.32
452,Iranshahr,IR,27.2025,60.6848,1624742292,91.74,12,0,4.61
453,Muisne,EC,0.6,-80.0333,1624742293,80.71,81,96,10.92
454,Kavaratti,IN,10.5669,72.642,1624742293,82.17,75,72,14.99
455,Bowen,AU,-20.0167,148.2333,1624742293,65.46,83,100,8.77
456,Dubrovnik,HR,42.6481,18.0922,1624742294,82.04,36,0,4.61
457,Krasnyy Yar,RU,46.5331,48.3456,1624742294,80.53,44,18,9.26
458,Roald,NO,62.5833,6.1333,1624742295,58.15,62,0,10.36
459,Carbonia,IT,39.1672,8.5222,1624742295,75.99,59,1,6.2
460,Dubbo,AU,-32.25,148.6167,1624742296,37.53,93,40,0.0
461,Ranong,TH,9.9658,98.6348,1624742296,78.76,86,100,6.91
462,Akdağmadeni,TR,39.6603,35.8836,1624742297,58.12,86,2,4.0
463,Tautira,PF,-17.7333,-149.15,1624742297,86.02,77,0,6.69
464,Medicine Hat,CA,50.0501,-110.6683,1624742025,89.22,29,5,3.0
465,Sioux Lookout,CA,50.1001,-91.917,1624742298,79.11,37,91,2.59
466,Xining,CN,36.6167,101.7667,1624742298,57.16,89,66,2.75
467,Yakeshi,CN,49.2833,120.7333,1624742299,59.02,91,10,2.53
468,Meulaboh,ID,4.1363,96.1285,1624742299,75.11,91,95,6.13
469,Amahai,ID,-3.3333,128.9167,1624742300,76.78,88,52,3.69
470,Gazli,UZ,40.1333,63.45,1624742300,81.48,18,0,8.28
471,Tsarychanka,UA,48.937,34.4786,1624742301,73.4,76,26,9.19
472,Saquarema,BR,-22.92,-42.5103,1624742241,75.22,82,10,14.81
473,Dolores,AR,-36.3132,-57.6792,1624742302,43.02,91,100,13.76
474,Broken Hill,AU,-31.95,141.4333,1624742302,41.63,79,0,3.31
475,Jerome,US,42.7241,-114.5186,1624742228,88.63,23,1,12.66
476,Ponta Delgada,PT,37.7333,-25.6667,1624742303,68.72,88,20,11.5
477,Malakal,SS,9.5334,31.6605,1624742303,80.33,64,100,2.77
478,Zhuhai,CN,22.2769,113.5678,1624742304,86.11,89,40,11.5
479,Assiniboia,CA,49.6334,-105.9845,1624742304,74.62,46,81,11.95
480,Inuvik,CA,68.3499,-133.7218,1624742042,63.5,46,88,5.59
481,Bataiporã,BR,-22.2953,-53.2711,1624742305,75.96,41,27,4.07
482,Grindavik,IS,63.8424,-22.4338,1624742305,51.75,93,90,16.11
483,Wahpeton,US,46.2652,-96.6059,1624742306,76.77,75,100,3.02
484,Slonim,BY,53.0867,25.3219,1624742306,63.66,92,100,9.62
485,Luquillo,PR,18.3725,-65.7166,1624742306,83.8,94,20,3.44
486,Metković,HR,43.0542,17.6483,1624742307,77.47,54,10,2.66
487,Naliya,IN,23.2667,68.8333,1624742307,83.28,67,99,14.34
488,Sayyan,YE,15.1718,44.3244,1624742308,67.14,37,85,1.41
489,Petropavl,KZ,54.8753,69.1628,1624742308,63.55,60,100,9.51
490,Nizwá,OM,22.9333,57.5333,1624742309,84.81,45,28,3.69
491,Suntar,RU,62.1444,117.6319,1624742309,65.52,69,100,3.36
492,Okha,RU,53.5739,142.9478,1624742310,48.38,78,14,10.18
493,Neepawa,CA,50.2289,-99.4664,1624742311,75.81,56,29,8.99
494,Galveston,US,29.3669,-94.9669,1624742311,93.31,71,1,8.01
495,Talcahuano,CL,-36.7167,-73.1167,1624742100,51.48,58,20,9.22
496,Spring Valley,US,36.108,-115.245,1624742312,107.89,11,20,1.99
497,Sal Rei,CV,16.1833,-22.9167,1624742312,75.76,86,32,8.79
498,Nurota,UZ,40.5614,65.6886,1624742312,73.49,23,0,8.79
499,Podyuga,RU,61.095,40.8647,1624742313,66.15,96,62,2.1
500,Belebey,RU,54.1167,54.1167,1624742313,67.95,89,100,3.98
501,Opelousas,US,30.5335,-92.0815,1624742138,87.8,66,40,5.75
502,Namatanai,PG,-3.6667,152.4333,1624742314,79.48,79,99,4.07
503,Sørland,NO,67.667,12.6934,1624742314,50.04,83,97,30.6
504,Daşoguz,TM,41.8363,59.9666,1624742315,76.95,33,0,6.91
505,Alyangula,AU,-13.8483,136.4192,1624742315,71.22,70,100,19.37
506,Sokółka,PL,53.4072,23.5023,1624742316,64.65,93,93,7.43
507,Cam Ranh,VN,11.9214,109.1591,1624742316,80.56,78,20,11.5
508,Ust-Tsilma,RU,65.441,52.1498,1624742316,60.89,61,100,7.9
509,Iquique,CL,-20.2208,-70.1431,1624742317,62.64,75,100,9.37
510,Esik,KZ,43.3552,77.4525,1624742317,53.02,64,40,5.93
511,Dogondoutchi,NE,13.6393,4.0287,1624742318,96.15,31,16,12.24
512,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1624742318,48.79,100,20,4.47
513,Charters Towers,AU,-20.1,146.2667,1624742318,57.63,91,100,11.05
514,Prince Rupert,CA,54.3161,-130.3201,1624742319,71.11,72,33,5.17
515,Opuwo,NA,-18.0607,13.84,1624742319,61.29,30,5,4.74
516,Coyhaique,CL,-45.5752,-72.0662,1624742320,36.21,80,20,0.0
517,Torbay,CA,47.6666,-52.7314,1624742320,68.88,70,91,11.74
518,North Bend,US,43.4065,-124.2243,1624742321,89.24,80,1,12.66
519,Nhamundá,BR,-2.1861,-56.7131,1624742321,82.96,68,80,2.66
520,Sohag,EG,26.557,31.6948,1624742321,87.91,22,0,7.31
521,Tahoua,NE,14.8888,5.2692,1624742322,93.18,40,80,9.22
522,Bushehr,IR,28.9684,50.8385,1624742322,86.09,74,0,6.91
523,Yurgamysh,RU,55.3714,64.4656,1624742323,59.92,94,17,5.12
524,Gamba,GA,-2.65,10.0,1624742323,72.18,94,89,5.57
525,Tulun,RU,54.5611,100.5792,1624742324,48.87,87,96,1.72
526,Beeville,US,28.4008,-97.7483,1624742324,94.28,62,40,12.66
527,Mahanoro,MG,-19.9,48.8,1624742325,65.16,90,5,5.01
528,Hanmer Springs,NZ,-42.5167,172.8167,1624742325,50.25,89,84,7.11
529,Mossamedes,AO,-15.1961,12.1522,1624742325,67.15,84,29,5.39
530,Langham,CA,52.3668,-106.9679,1624742326,86.02,37,65,8.48
531,Carmelo,UY,-33.9892,-58.2856,1624742173,48.15,87,88,23.02
532,Derzhavīnsk,KZ,51.1,66.3167,1624742326,64.63,50,74,9.42
533,Tshela,CD,-4.9833,12.9333,1624742327,70.12,98,16,2.15
534,Barabai,ID,-2.5833,115.3833,1624742327,72.57,96,69,1.34
535,Otjiwarongo,NA,-20.4637,16.6477,1624742328,51.94,44,0,5.03
536,Cañita,PA,9.2097,-78.8811,1624742328,84.74,85,100,5.5
537,Mnogovershinnyy,RU,53.9353,139.9242,1624742328,55.99,71,7,0.94
538,Cockburn Town,TC,21.4612,-71.1419,1624742329,80.87,76,3,13.11
539,Whitehorse,CA,60.7161,-135.0538,1624742329,73.02,46,99,11.99
540,Coihueco,CL,-36.6167,-71.8333,1624742330,47.14,66,0,10.36
541,Mahendranagar,NP,28.9167,80.3333,1624742330,80.56,70,65,4.07
542,Morant Bay,JM,17.8815,-76.4093,1624742331,83.82,70,30,8.52
543,Matamoros,MX,25.5333,-103.25,1624742331,96.91,25,40,11.5
544,Muroto-misakicho,JP,33.2833,134.15,1624742331,72.07,84,100,8.77
545,Humberto de Campos,BR,-2.5983,-43.4611,1624742332,76.86,82,70,4.27
546,Padang,ID,-0.9492,100.3543,1624742332,76.08,88,86,3.67
547,Marstal,DK,54.8562,10.5173,1624742333,62.46,83,7,6.93
548,Saravena,CO,6.9538,-71.8752,1624742333,81.55,76,93,0.69
549,Korem,ET,12.5058,39.5228,1624742333,63.01,55,30,6.67
550,Ventspils,LV,57.3894,21.5606,1624742334,64.33,88,20,2.3
551,Alta Floresta,BR,-9.8756,-56.0861,1624742334,80.62,54,80,1.3
552,Agra,IN,27.1833,78.0167,1624742335,93.81,39,99,9.04
553,Bintulu,MY,3.1667,113.0333,1624742335,73.81,100,40,1.14
554,Puerto Ayacucho,VE,5.6639,-67.6236,1624742336,85.84,70,63,0.92
555,Ajdabiya,LY,30.7554,20.2263,1624742336,86.23,31,0,11.59
556,Puerto del Rosario,ES,28.5004,-13.8627,1624742336,69.55,83,20,16.11
557,Kuril'sk,RU,45.2333,147.8833,1624742337,52.12,96,99,1.03
558,Stornoway,GB,58.2093,-6.3865,1624742337,53.92,76,93,4.61
559,Bogorodskoye,RU,56.55,37.8833,1624742338,69.57,75,84,2.01
560,Martapura,ID,-3.4167,114.85,1624742338,75.29,100,74,2.3
561,Mersing,MY,2.4312,103.8405,1624742339,75.11,94,10,3.44
562,Orthez,FR,43.4884,-0.7724,1624742339,64.33,96,100,4.25
563,Shar,KZ,49.5886,81.0453,1624742340,51.33,80,6,2.24
564,Ipixuna,BR,-1.7625,-48.8043,1624742340,76.95,92,100,4.05
